generator_version,flight_id,service_date,snapshot_hours_before_scheduled_gate_arrival,departure_delay_min,headwind_kts,destination_weather_index,arrival_demand_index,weather_snapshot_age_min,final_gate_wait_min,arrival_delay_min,late_30
build-zero-v1,ASTER-217-2024-02-20,2024-02-20,4,4,36.0,3.2,4.8,27,0,16,0
build-zero-v1,ASTER-217-2024-02-21,2024-02-21,4,38,41.8,5.1,9.5,2,18,68,1
build-zero-v1,ASTER-217-2024-02-22,2024-02-22,4,12,29.0,5.9,5.6,39,0,23,0
build-zero-v1,ASTER-217-2024-02-23,2024-02-23,4,25,51.2,2.1,3.2,11,0,28,0
build-zero-v1,ASTER-217-2024-02-24,2024-02-24,4,18,46.9,4.0,5.7,1,2,30,1
build-zero-v1,ASTER-217-2024-02-25,2024-02-25,4,17,30.9,2.8,4.6,7,1,21,0
build-zero-v1,ASTER-217-2024-02-26,2024-02-26,4,12,38.5,4.2,7.1,32,0,30,1
build-zero-v1,ASTER-217-2024-02-27,2024-02-27,4,6,53.9,4.0,2.0,14,0,17,0
build-zero-v1,ASTER-217-2024-02-28,2024-02-28,4,26,32.5,4.2,7.1,12,0,11,0
build-zero-v1,ASTER-217-2024-02-29,2024-02-29,4,23,40.6,5.8,4.9,5,3,32,1
build-zero-v1,ASTER-217-2024-03-01,2024-03-01,4,-5,41.0,3.6,3.3,30,1,19,0
build-zero-v1,ASTER-217-2024-03-02,2024-03-02,4,-2,39.6,6.3,6.4,7,35,53,1
build-zero-v1,ASTER-217-2024-03-03,2024-03-03,4,1,41.0,2.4,4.3,1,0,1,0
build-zero-v1,ASTER-217-2024-03-04,2024-03-04,4,27,43.1,0.1,6.2,22,0,18,0
build-zero-v1,ASTER-217-2024-03-05,2024-03-05,4,8,44.9,3.6,2.8,8,0,16,0
build-zero-v1,ASTER-217-2024-03-06,2024-03-06,4,19,46.5,0.8,7.1,28,0,21,0
build-zero-v1,ASTER-217-2024-03-07,2024-03-07,4,25,29.9,5.4,3.2,4,12,25,0
build-zero-v1,ASTER-217-2024-03-08,2024-03-08,4,8,19.1,2.0,6.4,23,17,14,0
build-zero-v1,ASTER-217-2024-03-09,2024-03-09,4,5,40.2,9.6,4.1,27,16,44,1
build-zero-v1,ASTER-217-2024-03-10,2024-03-10,4,2,45.1,5.6,7.5,23,0,18,0
build-zero-v1,ASTER-217-2024-03-11,2024-03-11,4,19,43.6,4.5,3.3,4,0,30,1
build-zero-v1,ASTER-217-2024-03-12,2024-03-12,4,-2,40.7,4.4,8.2,41,35,46,1
build-zero-v1,ASTER-217-2024-03-13,2024-03-13,4,1,41.8,5.1,1.3,2,0,13,0
build-zero-v1,ASTER-217-2024-03-14,2024-03-14,4,3,24.6,3.2,5.2,4,0,6,0
build-zero-v1,ASTER-217-2024-03-15,2024-03-15,4,29,31.2,0.8,3.0,70,0,22,0
build-zero-v1,ASTER-217-2024-03-16,2024-03-16,4,-3,16.8,3.4,4.8,15,0,-13,0
build-zero-v1,ASTER-217-2024-03-17,2024-03-17,4,6,33.8,6.7,5.5,18,5,16,0
build-zero-v1,ASTER-217-2024-03-18,2024-03-18,4,-2,44.2,5.6,6.1,4,0,22,0
build-zero-v1,ASTER-217-2024-03-19,2024-03-19,4,1,42.9,8.1,3.3,0,0,5,0
build-zero-v1,ASTER-217-2024-03-20,2024-03-20,4,1,43.4,4.2,3.6,9,10,10,0
build-zero-v1,ASTER-217-2024-03-21,2024-03-21,4,4,41.4,7.9,4.7,11,0,36,1
build-zero-v1,ASTER-217-2024-03-22,2024-03-22,4,8,45.4,3.7,6.6,1,0,17,0
build-zero-v1,ASTER-217-2024-03-23,2024-03-23,4,21,45.4,4.2,4.5,7,0,14,0
build-zero-v1,ASTER-217-2024-03-24,2024-03-24,4,-3,13.8,1.2,8.6,25,1,3,0
build-zero-v1,ASTER-217-2024-03-25,2024-03-25,4,25,32.6,6.1,5.1,6,5,39,1
build-zero-v1,ASTER-217-2024-03-26,2024-03-26,4,2,31.9,2.1,7.3,7,12,3,0
build-zero-v1,ASTER-217-2024-03-27,2024-03-27,4,64,27.7,5.4,2.2,4,0,37,1
build-zero-v1,ASTER-217-2024-03-28,2024-03-28,4,4,38.1,3.4,5.9,5,0,12,0
build-zero-v1,ASTER-217-2024-03-29,2024-03-29,4,2,32.9,4.9,5.8,6,0,2,0
build-zero-v1,ASTER-217-2024-03-30,2024-03-30,4,2,43.6,3.5,1.0,17,0,1,0
build-zero-v1,ASTER-217-2024-03-31,2024-03-31,4,3,30.3,7.6,0.8,38,0,8,0
build-zero-v1,ASTER-217-2024-04-01,2024-04-01,4,29,23.0,6.7,3.2,2,0,24,0
build-zero-v1,ASTER-217-2024-04-02,2024-04-02,4,-3,34.4,0.7,8.1,21,0,1,0
build-zero-v1,ASTER-217-2024-04-03,2024-04-03,4,6,35.5,1.6,4.2,1,0,6,0
build-zero-v1,ASTER-217-2024-04-04,2024-04-04,4,29,42.3,4.6,4.6,40,43,81,1
build-zero-v1,ASTER-217-2024-04-05,2024-04-05,4,5,18.4,1.4,2.8,51,0,-11,0
build-zero-v1,ASTER-217-2024-04-06,2024-04-06,4,-2,24.6,3.3,5.1,1,0,-8,0
build-zero-v1,ASTER-217-2024-04-07,2024-04-07,4,-3,32.6,0.5,5.7,26,3,3,0
build-zero-v1,ASTER-217-2024-04-08,2024-04-08,4,7,27.3,3.2,3.6,7,45,47,1
build-zero-v1,ASTER-217-2024-04-09,2024-04-09,4,20,24.7,4.7,3.6,19,1,13,0
build-zero-v1,ASTER-217-2024-04-10,2024-04-10,4,3,32.4,3.4,3.8,14,8,15,0
build-zero-v1,ASTER-217-2024-04-11,2024-04-11,4,21,9.0,7.9,6.1,2,0,28,0
build-zero-v1,ASTER-217-2024-04-12,2024-04-12,4,-3,26.5,2.1,4.0,30,33,10,0
build-zero-v1,ASTER-217-2024-04-13,2024-04-13,4,-4,28.0,8.8,2.7,6,0,7,0
build-zero-v1,ASTER-217-2024-04-14,2024-04-14,4,5,12.0,2.4,8.5,29,6,7,0
build-zero-v1,ASTER-217-2024-04-15,2024-04-15,4,6,36.8,3.4,7.8,14,2,14,0
build-zero-v1,ASTER-217-2024-04-16,2024-04-16,4,10,12.6,4.0,5.6,1,0,-4,0
build-zero-v1,ASTER-217-2024-04-17,2024-04-17,4,26,31.9,0,4.0,14,15,27,0
build-zero-v1,ASTER-217-2024-04-18,2024-04-18,4,-1,27.3,0,4.1,0,0,-11,0
build-zero-v1,ASTER-217-2024-04-19,2024-04-19,4,11,21.1,5.3,6.4,28,1,14,0
build-zero-v1,ASTER-217-2024-04-20,2024-04-20,4,6,29.7,2.6,8.7,11,24,41,1
build-zero-v1,ASTER-217-2024-04-21,2024-04-21,4,5,6.1,2.4,3.8,28,0,-13,0
build-zero-v1,ASTER-217-2024-04-22,2024-04-22,4,5,25.8,4.5,5.2,0,0,4,0
build-zero-v1,ASTER-217-2024-04-23,2024-04-23,4,16,26.2,4.1,3.0,41,2,5,0
build-zero-v1,ASTER-217-2024-04-24,2024-04-24,4,12,4,2.1,3.0,46,1,-5,0
build-zero-v1,ASTER-217-2024-04-25,2024-04-25,4,-3,8.9,6.9,5.9,12,0,1,0
build-zero-v1,ASTER-217-2024-04-26,2024-04-26,4,-5,7.3,0,5.7,3,7,-17,0
build-zero-v1,ASTER-217-2024-04-27,2024-04-27,4,66,43.2,4.4,4.9,1,4,47,1
build-zero-v1,ASTER-217-2024-04-28,2024-04-28,4,1,31.5,3.9,5.7,22,29,38,1
build-zero-v1,ASTER-217-2024-04-29,2024-04-29,4,9,15.0,5.0,0.5,44,0,-8,0
build-zero-v1,ASTER-217-2024-04-30,2024-04-30,4,-5,17.6,5.5,5.9,10,2,4,0
build-zero-v1,ASTER-217-2024-05-01,2024-05-01,4,9,31.7,2.3,5.9,17,9,18,0
build-zero-v1,ASTER-217-2024-05-02,2024-05-02,4,5,49.9,1.1,3.8,2,5,18,0
build-zero-v1,ASTER-217-2024-05-03,2024-05-03,4,10,15.8,2.4,2.2,12,0,-1,0
build-zero-v1,ASTER-217-2024-05-04,2024-05-04,4,10,32.4,6.5,2.7,34,0,17,0
build-zero-v1,ASTER-217-2024-05-05,2024-05-05,4,23,14.4,4.9,6.9,4,0,15,0
build-zero-v1,ASTER-217-2024-05-06,2024-05-06,4,16,17.8,2.9,5.2,5,5,3,0
build-zero-v1,ASTER-217-2024-05-07,2024-05-07,4,-1,22.4,3.7,6.7,27,4,5,0
build-zero-v1,ASTER-217-2024-05-08,2024-05-08,4,1,21.8,3.2,6.8,7,0,-14,0
build-zero-v1,ASTER-217-2024-05-09,2024-05-09,4,63,22.0,3.8,7.1,1,0,29,0
build-zero-v1,ASTER-217-2024-05-10,2024-05-10,4,-3,26.0,4.3,2.9,7,0,-13,0
build-zero-v1,ASTER-217-2024-05-11,2024-05-11,4,1,25.3,8.5,4.6,3,0,21,0
build-zero-v1,ASTER-217-2024-05-12,2024-05-12,4,11,22.6,3.0,4.5,2,0,-5,0
build-zero-v1,ASTER-217-2024-05-13,2024-05-13,4,4,29.9,4.5,5.6,31,0,10,0
build-zero-v1,ASTER-217-2024-05-14,2024-05-14,4,-2,23.1,2.0,6.4,7,0,-8,0
build-zero-v1,ASTER-217-2024-05-15,2024-05-15,4,-3,17.4,4.5,4.5,2,0,-3,0
build-zero-v1,ASTER-217-2024-05-16,2024-05-16,4,23,11.8,3.8,0.5,3,0,-3,0
build-zero-v1,ASTER-217-2024-05-17,2024-05-17,4,3,27.4,1.4,4.7,6,0,-4,0
build-zero-v1,ASTER-217-2024-05-18,2024-05-18,4,4,29.8,4.6,2.1,10,3,-14,0
build-zero-v1,ASTER-217-2024-05-19,2024-05-19,4,25,29.6,1.7,6.4,8,0,5,0
build-zero-v1,ASTER-217-2024-05-20,2024-05-20,4,11,29.1,3.8,5.6,30,0,25,0
build-zero-v1,ASTER-217-2024-05-21,2024-05-21,4,26,23.0,2.7,3.7,23,0,2,0
build-zero-v1,ASTER-217-2024-05-22,2024-05-22,4,4,9.6,3.0,5.0,18,0,-11,0
build-zero-v1,ASTER-217-2024-05-23,2024-05-23,4,55,20.1,1.5,7.9,10,0,8,0
build-zero-v1,ASTER-217-2024-05-24,2024-05-24,4,9,23.6,4.5,3.3,16,0,-5,0
build-zero-v1,ASTER-217-2024-05-25,2024-05-25,4,4,22.6,1.6,5.4,11,0,-11,0
build-zero-v1,ASTER-217-2024-05-26,2024-05-26,4,4,16.6,7.1,6.7,3,0,9,0
build-zero-v1,ASTER-217-2024-05-27,2024-05-27,4,5,13.5,3.0,4.5,4,0,-6,0
build-zero-v1,ASTER-217-2024-05-28,2024-05-28,4,7,12.3,0.8,1.8,54,0,-18,0
build-zero-v1,ASTER-217-2024-05-29,2024-05-29,4,1,20.5,0,0.8,9,0,-18,0
build-zero-v1,ASTER-217-2024-05-30,2024-05-30,4,5,32.8,3.7,5.6,18,0,2,0
build-zero-v1,ASTER-217-2024-05-31,2024-05-31,4,42,28.5,4.7,7.7,3,0,30,1
build-zero-v1,ASTER-217-2024-06-01,2024-06-01,4,0,28.9,7.2,4.6,2,12,19,0
build-zero-v1,ASTER-217-2024-06-02,2024-06-02,4,6,44.0,4.9,3.0,46,9,20,0
build-zero-v1,ASTER-217-2024-06-03,2024-06-03,4,2,20.5,3.3,3.3,8,1,-11,0
build-zero-v1,ASTER-217-2024-06-04,2024-06-04,4,-2,37.5,2.7,3.6,6,8,6,0
build-zero-v1,ASTER-217-2024-06-05,2024-06-05,4,18,30.7,2.4,7.2,4,4,10,0
build-zero-v1,ASTER-217-2024-06-06,2024-06-06,4,9,18.0,1.1,6.8,8,2,9,0
build-zero-v1,ASTER-217-2024-06-07,2024-06-07,4,0,29.9,0,5.0,12,0,-10,0
build-zero-v1,ASTER-217-2024-06-08,2024-06-08,4,1,33.1,0,5.2,6,20,7,0
build-zero-v1,ASTER-217-2024-06-09,2024-06-09,4,-1,20.2,2.4,3.6,31,0,-10,0
build-zero-v1,ASTER-217-2024-06-10,2024-06-10,4,9,18.1,2.9,6.9,7,1,-1,0
build-zero-v1,ASTER-217-2024-06-11,2024-06-11,4,13,19.5,0.7,4.6,10,0,-8,0
build-zero-v1,ASTER-217-2024-06-12,2024-06-12,4,2,11.0,2.3,8.9,19,7,-11,0
build-zero-v1,ASTER-217-2024-06-13,2024-06-13,4,0,39.1,0.8,5.2,12,17,7,0
build-zero-v1,ASTER-217-2024-06-14,2024-06-14,4,1,4,3.0,7.8,18,0,-9,0
build-zero-v1,ASTER-217-2024-06-15,2024-06-15,4,7,21.7,0.9,0,4,0,-18,0
build-zero-v1,ASTER-217-2024-06-16,2024-06-16,4,18,31.0,0.1,5.0,2,0,8,0
build-zero-v1,ASTER-217-2024-06-17,2024-06-17,4,77,37.9,0,5.9,27,0,38,1
build-zero-v1,ASTER-217-2024-06-18,2024-06-18,4,3,9.5,6.0,3.6,8,18,20,0
build-zero-v1,ASTER-217-2024-06-19,2024-06-19,4,3,27.4,1.8,5.4,1,0,0,0
build-zero-v1,ASTER-217-2024-06-20,2024-06-20,4,-3,9.2,3.3,8.8,2,15,13,0
build-zero-v1,ASTER-217-2024-06-21,2024-06-21,4,3,20.1,2.8,5.1,8,6,-4,0
build-zero-v1,ASTER-217-2024-06-22,2024-06-22,4,13,19.4,1.6,8.8,23,0,-6,0
build-zero-v1,ASTER-217-2024-06-23,2024-06-23,4,83,19.7,4.7,2.1,3,14,51,1
build-zero-v1,ASTER-217-2024-06-24,2024-06-24,4,12,25.2,3.9,7.2,11,0,7,0
build-zero-v1,ASTER-217-2024-06-25,2024-06-25,4,4,30.1,4.4,7.7,12,15,20,0
build-zero-v1,ASTER-217-2024-06-26,2024-06-26,4,42,45.3,3.5,2.0,24,0,26,0
build-zero-v1,ASTER-217-2024-06-27,2024-06-27,4,2,46.1,5.5,5.3,16,5,26,0
build-zero-v1,ASTER-217-2024-06-28,2024-06-28,4,79,22.2,3.7,5.2,1,0,45,1
build-zero-v1,ASTER-217-2024-06-29,2024-06-29,4,11,6.8,5.5,6.0,13,11,17,0
build-zero-v1,ASTER-217-2024-06-30,2024-06-30,4,4,31.4,3.9,5.2,5,1,13,0
build-zero-v1,ASTER-217-2024-07-01,2024-07-01,4,-1,11.1,1.7,4.6,5,0,-18,0
build-zero-v1,ASTER-217-2024-07-02,2024-07-02,4,46,10.6,3.6,7.6,1,0,18,0
build-zero-v1,ASTER-217-2024-07-03,2024-07-03,4,21,33.1,3.2,5.5,36,0,22,0
build-zero-v1,ASTER-217-2024-07-04,2024-07-04,4,12,24.7,4.7,3.0,3,3,13,0
build-zero-v1,ASTER-217-2024-07-05,2024-07-05,4,11,26.5,2.9,5.9,6,6,10,0
build-zero-v1,ASTER-217-2024-07-06,2024-07-06,4,2,23.1,2.5,3.4,28,2,-13,0
build-zero-v1,ASTER-217-2024-07-07,2024-07-07,4,20,28.6,3.2,9.5,7,12,22,0
build-zero-v1,ASTER-217-2024-07-08,2024-07-08,4,10,43.9,4.0,4.2,36,0,18,0
build-zero-v1,ASTER-217-2024-07-09,2024-07-09,4,16,7.4,6.2,4.5,17,0,10,0
build-zero-v1,ASTER-217-2024-07-10,2024-07-10,4,59,17.9,2.1,3.8,4,8,41,1
build-zero-v1,ASTER-217-2024-07-11,2024-07-11,4,12,13.3,1.2,4.5,17,0,-18,0
build-zero-v1,ASTER-217-2024-07-12,2024-07-12,4,5,21.8,0,2.2,7,0,-15,0
build-zero-v1,ASTER-217-2024-07-13,2024-07-13,4,0,10.3,5.2,2.7,36,0,-8,0
build-zero-v1,ASTER-217-2024-07-14,2024-07-14,4,-1,35.8,0.2,2.9,20,0,-7,0
build-zero-v1,ASTER-217-2024-07-15,2024-07-15,4,82,30.0,4.0,6.2,10,0,40,1
build-zero-v1,ASTER-217-2024-07-16,2024-07-16,4,1,27.4,3.0,4.8,14,0,-12,0
build-zero-v1,ASTER-217-2024-07-17,2024-07-17,4,5,27.7,5.6,4.5,43,13,12,0
build-zero-v1,ASTER-217-2024-07-18,2024-07-18,4,-5,29.2,2.7,3.3,18,0,-4,0
build-zero-v1,ASTER-217-2024-07-19,2024-07-19,4,19,21.8,2.5,3.0,8,5,10,0
build-zero-v1,ASTER-217-2024-07-20,2024-07-20,4,0,45.0,4.8,1.0,13,5,15,0
build-zero-v1,ASTER-217-2024-07-21,2024-07-21,4,22,8.5,0.5,5.6,37,0,-10,0
build-zero-v1,ASTER-217-2024-07-22,2024-07-22,4,20,22.5,2.8,5.6,18,0,8,0
build-zero-v1,ASTER-217-2024-07-23,2024-07-23,4,-5,43.7,6.1,2.4,9,0,6,0
build-zero-v1,ASTER-217-2024-07-24,2024-07-24,4,3,26.4,4.8,4.9,0,0,0,0
build-zero-v1,ASTER-217-2024-07-25,2024-07-25,4,0,4.1,1.7,5.7,7,7,-2,0
build-zero-v1,ASTER-217-2024-07-26,2024-07-26,4,16,32.0,3.3,7.5,16,0,11,0
build-zero-v1,ASTER-217-2024-07-27,2024-07-27,4,3,41.7,5.7,3.1,43,7,23,0
build-zero-v1,ASTER-217-2024-07-28,2024-07-28,4,1,4,2.4,7.4,19,0,-4,0
build-zero-v1,ASTER-217-2024-07-29,2024-07-29,4,69,5.6,2.1,4.3,8,19,43,1
build-zero-v1,ASTER-217-2024-07-30,2024-07-30,4,5,30.0,1.7,3.4,28,0,9,0
build-zero-v1,ASTER-217-2024-07-31,2024-07-31,4,61,28.4,4.4,7.5,5,0,43,1
build-zero-v1,ASTER-217-2024-08-01,2024-08-01,4,7,27.6,2.5,6.3,31,0,-8,0
build-zero-v1,ASTER-217-2024-08-02,2024-08-02,4,-5,22.2,3.9,7.5,9,0,-9,0
build-zero-v1,ASTER-217-2024-08-03,2024-08-03,4,1,35.4,3.1,0.9,13,1,6,0
build-zero-v1,ASTER-217-2024-08-04,2024-08-04,4,3,21.0,0.8,7.4,19,7,-7,0
build-zero-v1,ASTER-217-2024-08-05,2024-08-05,4,-1,36.2,0.2,4.8,0,0,-17,0
build-zero-v1,ASTER-217-2024-08-06,2024-08-06,4,-2,10.5,2.5,3.6,9,0,-16,0
build-zero-v1,ASTER-217-2024-08-07,2024-08-07,4,-1,4.5,3.3,6.4,0,0,1,0
build-zero-v1,ASTER-217-2024-08-08,2024-08-08,4,1,26.3,3.9,7.9,9,0,1,0
build-zero-v1,ASTER-217-2024-08-09,2024-08-09,4,11,29.5,2.5,6.3,1,5,13,0
build-zero-v1,ASTER-217-2024-08-10,2024-08-10,4,5,33.5,2.7,6.1,9,0,6,0
build-zero-v1,ASTER-217-2024-08-11,2024-08-11,4,4,16.1,0.6,3.6,6,19,5,0
build-zero-v1,ASTER-217-2024-08-12,2024-08-12,4,2,25.3,5.4,5.6,6,19,20,0
build-zero-v1,ASTER-217-2024-08-13,2024-08-13,4,2,23.3,2.7,5.9,26,0,-4,0
build-zero-v1,ASTER-217-2024-08-14,2024-08-14,4,23,4,3.2,3.3,24,3,2,0
build-zero-v1,ASTER-217-2024-08-15,2024-08-15,4,8,23.6,3.1,10,13,4,4,0
build-zero-v1,ASTER-217-2024-08-16,2024-08-16,4,9,22.7,1.8,2.9,2,0,-13,0
build-zero-v1,ASTER-217-2024-08-17,2024-08-17,4,2,36.2,4.2,7.7,1,0,6,0
build-zero-v1,ASTER-217-2024-08-18,2024-08-18,4,19,26.5,0.2,4.4,5,1,-2,0
build-zero-v1,ASTER-217-2024-08-19,2024-08-19,4,25,30.9,0,7.2,12,0,12,0
build-zero-v1,ASTER-217-2024-08-20,2024-08-20,4,20,28.0,3.3,6.2,10,7,19,0
build-zero-v1,ASTER-217-2024-08-21,2024-08-21,4,0,30.2,1.0,7.7,1,0,-13,0
build-zero-v1,ASTER-217-2024-08-22,2024-08-22,4,9,32.6,1.9,2.7,7,5,2,0
build-zero-v1,ASTER-217-2024-08-23,2024-08-23,4,3,20.8,1.4,7.1,28,0,-1,0
build-zero-v1,ASTER-217-2024-08-24,2024-08-24,4,3,19.8,1.6,6.4,40,0,-13,0
build-zero-v1,ASTER-217-2024-08-25,2024-08-25,4,5,27.7,1.4,5.1,5,0,-7,0
build-zero-v1,ASTER-217-2024-08-26,2024-08-26,4,0,17.2,2.5,9.8,11,14,6,0
build-zero-v1,ASTER-217-2024-08-27,2024-08-27,4,10,33.5,3.7,0.5,17,6,14,0
build-zero-v1,ASTER-217-2024-08-28,2024-08-28,4,11,18.9,0,5.7,22,6,-7,0
build-zero-v1,ASTER-217-2024-08-29,2024-08-29,4,4,34.1,4.4,4.1,10,5,1,0
build-zero-v1,ASTER-217-2024-08-30,2024-08-30,4,-4,30.5,0.3,3.7,21,0,-16,0
build-zero-v1,ASTER-217-2024-08-31,2024-08-31,4,2,15.4,6.5,8.0,1,9,29,0
build-zero-v1,ASTER-217-2024-09-01,2024-09-01,4,12,22.7,4.4,7.8,10,1,8,0
build-zero-v1,ASTER-217-2024-09-02,2024-09-02,4,-1,8.6,0.9,2.3,24,1,-16,0
build-zero-v1,ASTER-217-2024-09-03,2024-09-03,4,-5,19.7,2.0,5.0,16,0,-11,0
build-zero-v1,ASTER-217-2024-09-04,2024-09-04,4,27,28.7,6.9,3.6,30,10,21,0
build-zero-v1,ASTER-217-2024-09-05,2024-09-05,4,-3,17.9,4.6,4.9,4,1,-6,0
build-zero-v1,ASTER-217-2024-09-06,2024-09-06,4,7,35.4,3.2,5.0,33,14,28,0
build-zero-v1,ASTER-217-2024-09-07,2024-09-07,4,10,24.3,1.4,9.5,28,48,29,0
build-zero-v1,ASTER-217-2024-09-08,2024-09-08,4,4,24.4,1.3,9.8,0,0,-1,0
build-zero-v1,ASTER-217-2024-09-09,2024-09-09,4,4,22.1,2.9,5.2,37,5,8,0
build-zero-v1,ASTER-217-2024-09-10,2024-09-10,4,4,17.0,2.3,4.0,22,0,-13,0
build-zero-v1,ASTER-217-2024-09-11,2024-09-11,4,3,18.2,1.6,6.6,12,0,-6,0
build-zero-v1,ASTER-217-2024-09-12,2024-09-12,4,0,19.7,2.3,7.1,26,32,30,1
build-zero-v1,ASTER-217-2024-09-13,2024-09-13,4,-2,19.4,4.9,2.5,41,8,8,0
build-zero-v1,ASTER-217-2024-09-14,2024-09-14,4,13,28.1,2.1,7.7,22,2,6,0
